2,0,114
2,0.01,311
2,0.02,515
2,0.03,673
2,0.04,872
2,0.05,1065
2,0.06,1326
2,0.07,1538
2,0.08,1760
2,0.09,1886
2,0.1,2142
2,0.11,2304
2,0.12,2607
2,0.13,2666
2,0.14,2889
2,0.15,3041
2,0.16,3338
2,0.17,3574
2,0.18,3727
2,0.19,3958
2,0.2,4073
2,0.21,4249
2,0.22,4520
2,0.23,4734
2,0.24,4919
2,0.25,5073
2,0.26,5310
2,0.27,5416
2,0.28,5668
2,0.29,5965
2,0.3,5967
2,0.31,6362
2,0.32,6458
2,0.33,6682
2,0.34,6968
2,0.35,7057
2,0.36,7428
2,0.37,7557
2,0.38,7762
2,0.39,7977
2,0.4,8236
2,0.41,8391
2,0.42,8589
2,0.43,8692
2,0.44,8755
2,0.45,8949
2,0.46,9404
2,0.47,9526
2,0.48,9680
2,0.49,9612
2,0.5,10022
2,0.51,10459
2,0.52,10482
2,0.53,10754
2,0.54,10813
2,0.55,11223
2,0.56,11364
2,0.57,11433
2,0.58,11805
2,0.59,12023
2,0.6,12021
2,0.61,12334
2,0.62,12604
2,0.63,12686
2,0.64,12876
2,0.65,12979
2,0.66,13281
2,0.67,13585
2,0.68,13594
2,0.69,14025
2,0.7,14120
2,0.71,14277
2,0.72,14581
2,0.73,14516
2,0.74,14937
2,0.75,15178
2,0.76,15238
2,0.77,15524
2,0.78,15555
2,0.79,15914
2,0.8,15985
2,0.81,16214
2,0.82,16753
2,0.83,16591
2,0.84,17026
2,0.85,17046
2,0.86,17498
2,0.87,17361
2,0.88,17768
2,0.89,18040
2,0.9,18023
2,0.91,18316
2,0.92,18554
2,0.93,18614
2,0.94,19162
2,0.95,18944
2,0.96,19112
2,0.97,19214
2,0.98,19685
2,0.99,19606
3,0,0
3,0.01,12
3,0.02,19
3,0.03,37
3,0.04,66
3,0.05,83
3,0.06,115
3,0.07,172
3,0.08,240
3,0.09,309
3,0.1,355
3,0.11,422
3,0.12,427
3,0.13,533
3,0.14,670
3,0.15,744
3,0.16,765
3,0.17,889
3,0.18,1047
3,0.19,1099
3,0.2,1259
3,0.21,1431
3,0.22,1560
3,0.23,1703
3,0.24,1768
3,0.25,1969
3,0.26,2166
3,0.27,2274
3,0.28,2385
3,0.29,2594
3,0.3,2729
3,0.31,2964
3,0.32,3081
3,0.33,3392
3,0.34,3676
3,0.35,3881
3,0.36,4006
3,0.37,4295
3,0.38,4355
3,0.39,4616
3,0.4,4986
3,0.41,5166
3,0.42,5489
3,0.43,5633
3,0.44,5898
3,0.45,6314
3,0.46,6535
3,0.47,6874
3,0.48,7103
3,0.49,7332
3,0.5,7605
3,0.51,7979
3,0.52,8239
3,0.53,8579
3,0.54,8913
3,0.55,9171
3,0.56,9648
3,0.57,9865
3,0.58,10330
3,0.59,10595
3,0.6,11183
3,0.61,11352
3,0.62,11570
3,0.63,11948
3,0.64,12370
3,0.65,13028
3,0.66,13251
3,0.67,13491
3,0.68,14277
3,0.69,14433
3,0.7,14947
3,0.71,15313
3,0.72,15810
3,0.73,16100
3,0.74,16627
3,0.75,17433
3,0.76,17461
3,0.77,17758
3,0.78,18480
3,0.79,18786
3,0.8,19453
3,0.81,20047
3,0.82,20635
3,0.83,20804
3,0.84,21228
3,0.85,21922
3,0.86,22353
3,0.87,22942
3,0.88,23534
3,0.89,23694
3,0.9,24433
3,0.91,25167
3,0.92,25491
3,0.93,26310
3,0.94,26680
3,0.95,27340
3,0.96,28113
3,0.97,28622
3,0.98,29249
3,0.99,30003
4,0,0
4,0.01,0
4,0.02,0
4,0.03,0
4,0.04,3
4,0.05,7
4,0.06,10
4,0.07,18
4,0.08,22
4,0.09,30
4,0.1,51
4,0.11,62
4,0.12,86
4,0.13,97
4,0.14,144
4,0.15,145
4,0.16,183
4,0.17,204
4,0.18,241
4,0.19,287
4,0.2,313
4,0.21,391
4,0.22,433
4,0.23,496
4,0.24,547
4,0.25,670
4,0.26,721
4,0.27,823
4,0.28,906
4,0.29,1034
4,0.3,1089
4,0.31,1226
4,0.32,1403
4,0.33,1544
4,0.34,1656
4,0.35,1749
4,0.36,1903
4,0.37,2099
4,0.38,2295
4,0.39,2421
4,0.4,2667
4,0.41,2842
4,0.42,3138
4,0.43,3220
4,0.44,3493
4,0.45,3792
4,0.46,4102
4,0.47,4214
4,0.48,4507
4,0.49,4897
4,0.5,5104
4,0.51,5550
4,0.52,5883
4,0.53,6154
4,0.54,6473
4,0.55,6910
4,0.56,7267
4,0.57,7664
4,0.58,8048
4,0.59,8295
4,0.6,8920
4,0.61,9368
4,0.62,9663
4,0.63,10305
4,0.64,10729
4,0.65,11182
4,0.66,11638
4,0.67,12210
4,0.68,12922
4,0.69,13572
4,0.7,13989
4,0.71,14811
4,0.72,15504
4,0.73,15943
4,0.74,16644
4,0.75,17244
4,0.76,17858
4,0.77,18626
4,0.78,19430
4,0.79,20266
4,0.8,20901
4,0.81,21568
4,0.82,22391
4,0.83,23561
4,0.84,24076
4,0.85,24953
4,0.86,25889
4,0.87,26684
4,0.88,27544
4,0.89,28402
4,0.9,29581
4,0.91,30649
4,0.92,31677
4,0.93,32549
4,0.94,33735
4,0.95,35034
4,0.96,35549
4,0.97,37253
4,0.98,38292
4,0.99,39359
5,0,0
5,0.01,0
5,0.02,0
5,0.03,0
5,0.04,0
5,0.05,1
5,0.06,2
5,0.07,1
5,0.08,1
5,0.09,5
5,0.1,11
5,0.11,10
5,0.12,11
5,0.13,12
5,0.14,21
5,0.15,27
5,0.16,30
5,0.17,36
5,0.18,69
5,0.19,72
5,0.2,79
5,0.21,100
5,0.22,117
5,0.23,157
5,0.24,191
5,0.25,177
5,0.26,232
5,0.27,289
5,0.28,280
5,0.29,376
5,0.3,422
5,0.31,495
5,0.32,546
5,0.33,617
5,0.34,737
5,0.35,781
5,0.36,931
5,0.37,977
5,0.38,1097
5,0.39,1209
5,0.4,1384
5,0.41,1499
5,0.42,1658
5,0.43,1791
